schedule,evaluations,best_fitness
exp,83838.38383838383,1.7418862541005181e-06
exp,84848.48484848485,1.6398997310935761e-06
exp,85858.58585858585,1.6663093755488598e-06
exp,86868.68686868687,1.738535662450181e-06
exp,87878.78787878787,1.569816725175727e-06
exp,88888.88888888889,1.5367806993373447e-06
exp,89898.9898989899,1.4543645803107089e-06
exp,90909.0909090909,1.380493957120037e-06
exp,91919.19191919192,1.4690302062762188e-06
exp,92929.29292929292,1.4794178564557738e-06
exp,93939.39393939394,1.5747083394399682e-06
exp,94949.49494949494,1.4873758849420598e-06
exp,95959.59595959596,1.5133888519439423e-06
exp,96969.69696969696,1.1606845438891755e-06
exp,97979.79797979798,1.2756918355399865e-06
exp,98989.89898989898,1.1627132931550769e-06
exp,100000.0,1.3818383494212284e-06
cosine,0.0,1.0006069988668114e-05
cosine,1010.10101010101,9.762096000374319e-06
cosine,2020.20202020202,9.517732120672452e-06
cosine,3030.30303030303,9.394348324510532e-06
cosine,4040.40404040404,9.449975176355716e-06
cosine,5050.50505050505,8.838308301158231e-06
cosine,6060.60606060606,9.023876989980487e-06
cosine,7070.707070707071,8.842191177872626e-06
cosine,8080.80808080808,8.572800553989504e-06
cosine,9090.90909090909,8.514347117805269e-06
cosine,10101.0101010101,8.243501101761689e-06
cosine,11111.111111111111,7.943714825131145e-06
cosine,12121.21212121212,8.049711546084948e-06
cosine,13131.31313131313,7.875037631189355e-06
cosine,14141.414141414141,7.467578064727579e-06
cosine,15151.51515151515,7.692626924121471e-06
cosine,16161.61616161616,7.2524311264037745e-06
cosine,17171.71717171717,7.345531238242767e-06
cosine,18181.81818181818,7.22129498750961e-06
cosine,19191.91919191919,6.748944927076804e-06
cosine,20202.0202020202,6.6664757798080245e-06
cosine,21212.121212121212,6.5881422301615205e-06
cosine,22222.222222222223,6.642527243569977e-06
cosine,23232.32323232323,6.194342066543593e-06
cosine,24242.42424242424,6.226521215779652e-06
cosine,25252.52525252525,6.270412046795184e-06
cosine,26262.62626262626,5.9981912179094654e-06
cosine,27272.727272727272,5.884227132283871e-06
cosine,28282.828282828283,5.713271270214389e-06
cosine,29292.92929292929,5.615460767545512e-06
cosine,30303.0303030303,5.331136297990008e-06
cosine,31313.13131313131,5.420169210400457e-06
cosine,32323.23232323232,5.42516981289881e-06
cosine,33333.33333333333,5.245320931337348e-06
cosine,34343.43434343434,5.190731461490155e-06
cosine,35353.53535353535,5.028203158228563e-06
cosine,36363.63636363636,5.038334800993235e-06
cosine,37373.73737373737,4.814095492424736e-06
cosine,38383.83838383838,4.8259180626724115e-06
cosine,39393.93939393939,4.6446479217044325e-06
cosine,40404.0404040404,4.625673546293289e-06
cosine,41414.14141414141,4.493874356775176e-06
cosine,42424.242424242424,4.3335053631396564e-06
cosine,43434.343434343435,4.405011438404874e-06
cosine,44444.444444444445,4.184596252555112e-06
cosine,45454.54545454545,4.043506411335103e-06
cosine,46464.64646464646,4.19243420722929e-06
cosine,47474.74747474747,4.068904770938941e-06
cosine,48484.84848484848,3.842980571809254e-06
cosine,49494.94949494949,3.874421166848809e-06
cosine,50505.0505050505,3.883295686814598e-06
cosine,51515.15151515151,3.743601679497786e-06
cosine,52525.25252525252,3.583578532524377e-06
cosine,53535.35353535353,3.5102580134297122e-06
cosine,54545.454545454544,3.4684956701469323e-06
cosine,55555.555555555555,3.3762808024150912e-06
cosine,56565.656565656565,3.203633356940049e-06
cosine,57575.757575757576,3.2325215407521964e-06
cosine,58585.85858585858,3.387404301021251e-06
cosine,59595.95959595959,3.302143726818386e-06
cosine,60606.0606060606,3.1886605047399463e-06
cosine,61616.16161616161,3.07762010660357e-06
cosine,62626.26262626262,3.016188395695343e-06
cosine,63636.36363636363,2.9436477532863323e-06
cosine,64646.46464646464,2.8626931423757684e-06
cosine,65656.56565656565,2.966395482660658e-06
cosine,66666.66666666666,2.6676492822504307e-06
cosine,67676.76767676767,2.7114539499855507e-06
cosine,68686.86868686868,2.6671302299045466e-06
cosine,69696.9696969697,2.5629977807875474e-06
cosine,70707.0707070707,2.4950329747955374e-06
cosine,71717.17171717172,2.637152175560947e-06
cosine,72727.27272727272,2.4586542471492976e-06
cosine,73737.37373737374,2.2736946897656492e-06
cosine,74747.47474747474,2.239591644547312e-06
cosine,75757.57575757576,2.4589013175087757e-06
cosine,76767.67676767676,2.275378046104935e-06
cosine,77777.77777777777,2.119154629065658e-06
cosine,78787.87878787878,2.0698055513448538e-06
cosine,79797.97979797979,2.136742222181345e-06
cosine,80808.0808080808,2.1311726610177884e-06
cosine,81818.18181818181,2.1080327090363012e-06
cosine,82828.28282828283,2.0942762019391507e-06
cosine,83838.38383838383,1.9738556165621756e-06
cosine,84848.48484848485,1.837524463631266e-06
cosine,85858.58585858585,1.8816621386467467e-06
cosine,86868.68686868687,1.8004855746091327e-06
cosine,87878.78787878787,1.891219810112187e-06
cosine,88888.88888888889,1.9552434579650487e-06
cosine,89898.9898989899,1.7536481859806846e-06
cosine,90909.0909090909,1.8216997328059234e-06
cosine,91919.19191919192,1.7972551684105024e-06
cosine,92929.29292929292,1.5485052826354636e-06
cosine,93939.39393939394,1.7389872294221317e-06
cosine,94949.49494949494,1.6162862334843127e-06
cosine,95959.59595959596,1.6392556024795884e-06
cosine,96969.69696969696,1.40422351161396e-06
cosine,97979.79797979798,1.5210617035513416e-06
cosine,98989.89898989898,1.5270010440272475e-06
cosine,100000.0,1.500665303717204e-06
piecewise,0.0,1.0070139376983855e-05
piecewise,1010.10101010101,9.747098909284312e-06
piecewise,2020.20202020202,9.492511708001946e-06
piecewise,3030.30303030303,9.339046477499214e-06
piecewise,4040.40404040404,9.082829660407828e-06
piecewise,5050.50505050505,9.206019485118967e-06
piecewise,6060.60606060606,8.873627830392561e-06
piecewise,7070.707070707071,8.680776009176709e-06
piecewise,8080.80808080808,8.370952794396497e-06
piecewise,9090.90909090909,8.337123787256217e-06
piecewise,10101.0101010101,8.137393667609379e-06
piecewise,11111.111111111111,8.193143435923127e-06
piecewise,12121.21212121212,7.782013266901107e-06
piecewise,13131.31313131313,7.719249175782111e-06
piecewise,14141.414141414141,7.450320148188703e-06
piecewise,15151.51515151515,7.43211104914121e-06
piecewise,16161.61616161616,7.1321367993232405e-06
piecewise,17171.71717171717,7.046666636459066e-06
piecewise,18181.81818181818,7.069338700621444e-06
piecewise,19191.91919191919,6.679004986299618e-06
piecewise,20202.0202020202,6.466335172387477e-06
piecewise,21212.121212121212,6.258680892294961e-06
piecewise,22222.222222222223,6.311259982527827e-06
piecewise,23232.32323232323,6.072298096259424e-06
piecewise,24242.42424242424,6.169424812302384e-06
piecewise,25252.52525252525,6.009157363453272e-06
piecewise,26262.62626262626,5.643775835261789e-06
piecewise,27272.727272727272,5.565498668611161e-06
piecewise,28282.828282828283,5.49547980470971e-06
piecewise,29292.92929292929,5.548886049100335e-06
piecewise,30303.0303030303,5.5276973331827575e-06
piecewise,31313.13131313131,5.278339510786365e-06
piecewise,32323.23232323232,5.151389093685186e-06
piecewise,33333.33333333333,5.071383971432293e-06
piecewise,34343.43434343434,5.1056749271144895e-06
piecewise,35353.53535353535,4.8804922178098085e-06
piecewise,36363.63636363636,4.6473979862492e-06
piecewise,37373.73737373737,4.5636591126833345e-06
piecewise,38383.83838383838,4.600441077272192e-06
piecewise,39393.93939393939,4.576947464054562e-06
piecewise,40404.0404040404,4.533887585840212e-06
piecewise,41414.14141414141,4.279567098028673e-06
piecewise,42424.242424242424,4.171597098562123e-06
piecewise,43434.343434343435,4.154055614474707e-06
piecewise,44444.444444444445,4.03919330145413e-06
piecewise,45454.54545454545,3.978236294544818e-06
piecewise,46464.64646464646,3.882969457113637e-06
piecewise,47474.74747474747,3.942098691137993e-06
piecewise,48484.84848484848,3.534494658888404e-06
piecewise,49494.94949494949,3.4721438026354603e-06
piecewise,50505.0505050505,3.608012899339e-06
piecewise,51515.15151515151,3.4779689520220877e-06
piecewise,52525.25252525252,3.3978785014857297e-06
piecewise,53535.35353535353,3.260897100065059e-06
piecewise,54545.454545454544,3.3295735537400196e-06
piecewise,55555.555555555555,3.2359380957010756e-06
piecewise,56565.656565656565,3.1316109349537755e-06
piecewise,57575.757575757576,3.333645691606818e-06
piecewise,58585.85858585858,2.9874301286414424e-06
piecewise,59595.95959595959,2.8706148610019127e-06
piecewise,60606.0606060606,2.928819462042961e-06
piecewise,61616.16161616161,2.821658495886735e-06
piecewise,62626.26262626262,2.9252096085586873e-06
piecewise,63636.36363636363,2.925804280353058e-06
piecewise,64646.46464646464,2.7760836613891247e-06
piecewise,65656.56565656565,2.583194883249076e-06
piecewise,66666.66666666666,2.487292784252035e-06
piecewise,67676.76767676767,2.5131693611584355e-06
piecewise,68686.86868686868,2.311171584791033e-06
piecewise,69696.9696969697,2.4613511884199316e-06
piecewise,70707.0707070707,2.2970011589554718e-06
piecewise,71717.17171717172,2.4839132395526266e-06
piecewise,72727.27272727272,2.1510813938971512e-06
piecewise,73737.37373737374,2.2193574191516398e-06
piecewise,74747.47474747474,2.220472351656236e-06
piecewise,75757.57575757576,1.989208376183549e-06
piecewise,76767.67676767676,2.176806535363159e-06
piecewise,77777.77777777777,2.206364178639697e-06
piecewise,78787.87878787878,2.0634736219933297e-06
piecewise,79797.97979797979,1.9923237960222557e-06
piecewise,80808.0808080808,1.945069983323313e-06
piecewise,81818.18181818181,1.7416834261469882e-06
piecewise,82828.28282828283,1.939009951770591e-06
piecewise,83838.38383838383,1.946209926975959e-06
piecewise,84848.48484848485,1.878943442006855e-06
piecewise,85858.58585858585,1.7092483832927119e-06
piecewise,86868.68686868687,1.8056509096030278e-06
piecewise,87878.78787878787,1.6379655439360913e-06
piecewise,88888.88888888889,1.673782692622101e-06
piecewise,89898.9898989899,1.5314486456946217e-06
piecewise,90909.0909090909,1.3515607870074124e-06
piecewise,91919.19191919192,1.6393694174249846e-06
piecewise,92929.29292929292,1.4350474430137857e-06
piecewise,93939.39393939394,1.563547484029262e-06
piecewise,94949.49494949494,1.4564108711752364e-06
piecewise,95959.59595959596,1.4326270025483382e-06
piecewise,96969.69696969696,1.341468186121327e-06
piecewise,97979.79797979798,1.4911673388646897e-06
piecewise,98989.89898989898,1.3821332753968006e-06
piecewise,100000.0,1.1907749241873546e-06
